"","cv.sd.GLAMER","gic.GLAMER","cvg.DMRnet","gic.DMRnet","scope.250","scope.100","cv.glmnet","RF","cv.MCP","cv.MCP.g.100","cv.MCP.g.250","cv.grLasso"
"190",0.125,0.09375,0.21875,0.28125,0.125,0.0625,0.0625,0.03125,0.21875,0.15625,0.0625,0.125
"191",0.09375,0.09375,0.09375,0.03125,0.125,0.125,0.0625,0.0625,0.03125,0,0.03125,0.03125
"192",0.125,0.125,0.15625,0.125,0.0625,0.15625,0.03125,0.125,0.3125,0.09375,0.09375,0.125
"193",0.0625,0.0625,0.03125,0.09375,0.09375,0.0625,0.0625,0.21875,0.25,0.125,0.09375,0.09375
"194",0.15625,0.0625,0.125,0.28125,0.0625,0,0.125,0.0625,0.125,0.09375,0.15625,0.125
"195",0.25,0.0625,0.125,0.15625,0.03125,0.09375,0.0625,0.1875,0.21875,0.0625,0.09375,0.09375
"196",0.25,0.0625,0.125,0.09375,0.09375,0.21875,0.03125,0.21875,0.125,0.0625,0.125,0.125
"197",0.0625,0.0625,0.03125,0.09375,0.15625,0.28125,0.03125,0.125,0.09375,0,0.09375,0.0625
"198",0.03125,0.15625,0.0625,0.09375,0.15625,0.09375,0.0625,0.03125,0.1875,0.15625,0.09375,0.0625
"199",0.125,0.09375,0.15625,0.15625,0.125,0.0625,0.1875,0.125,0.03125,0.0625,0.09375,0.125
"200",0.0625,0.09375,0.3125,0.125,0.1875,0.03125,0.125,0.1875,0.09375,0.09375,0.09375,0.03125
